,asin,category,price_weighted_normalized,leak_weighted_normalized,absorb_weighted_normalized,comfort_weighted_normalized,material_weighted_normalized,package_weighted_normalized,size_weighted_normalized
92,B00QNPEWZA,Protège-slips,0.037774482183109,0.070897305368159,0.0269236580331692,0.0816428272649813,0.3543356740174836,0.133624958338795,0.0
93,B00QTJ23IS,Serviettes hygièniques,0.034758885883079,0.1113384147173971,0.0669381677577269,0.0729510059591218,0.3543356740174836,0.1789454531263524,0.0
94,B00SG3PHUQ,Protège-slips,0.1130834179086261,0.0928256015579525,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
95,B00STLACSM,Tampons,0.0284927048765604,0.1703489906820563,0.0269236580331692,0.1326523906352321,0.4184303261436261,0.0796936158292756,0.0304249619485069
96,B00T4GNI1O,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
97,B00TYY31U4,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.5315035110262254,0.0796936158292756,0.0
98,B00UDFHFEQ,Tampons,0.0,0.1319862639611149,0.1478127615724119,0.1008296001539416,0.3543356740174836,0.0796936158292756,0.0
99,B00VIP6IQG,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.6879907779674482,0.0796936158292756,0.0
100,B00VU2VQF0,Protège-slips,0.1987640182025932,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
101,B00XA48B86,Protège-slips,0.2645628475173373,0.0928839032334484,0.1719547824257613,0.1416479456610775,0.3543356740174836,0.2955344044878663,0.0302683288465886
102,B00XA48EWO,Protège-slips,0.0517512013722716,0.070897305368159,0.0269236580331692,0.1002308671850361,0.3543356740174836,0.3013521221953879,0.0
103,B00XAEXV1I,Protège-slips,0.2352825315583455,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.121683280751982,0.0
104,B00XAEXWH6,Serviettes hygièniques,0.0,0.0930289258255113,0.1583126267723708,0.1270948492438517,0.5682865753608709,0.0796936158292756,0.0101559924522412
105,B00XAH04X8,Protège-slips,0.0469201661623588,0.070897305368159,0.0269236580331692,0.0777770325212596,0.3543356740174836,0.0796936158292756,0.0
106,B00ZB1KAT4,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.0751833507947112,0.3543356740174836,0.0796936158292756,0.0
107,B01193V8CK,Tampons,0.1874058658232615,0.5160666305098193,0.2426657236922592,0.6417168275771836,0.635383374434815,0.2580688814210781,0.3335249239704124
108,B0144M5L4E,Serviettes hygièniques,0.05122706823905,0.1006980227338559,0.0269236580331692,0.059157449467552,0.3543356740174836,0.1528314698325819,0.0
109,B0145NOA2G,Tampons,0.0577044530182066,0.0876817335450075,0.2926416565000145,0.059157449467552,0.3543356740174836,0.1620793545659124,0.0
110,B014KORVYE,,0.0496910045506483,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
111,B016AGSNHY,Hygiène et épilation,0.1435121533489032,0.3714484585578913,0.2251774849856876,0.4919827939963658,1.0,0.407525639956896,0.406098063796279
112,B017ERGIUW,Serviettes hygièniques,0.1017076876348191,0.0906197044650577,0.1830384913112197,0.0927917921537379,0.544996139732894,0.1280969454553035,0.0090504234316765
113,B01BV4XLN6,Incontinence,0.1002624656346363,0.070897305368159,0.0653977853842834,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
114,B01BV4XLOU,Incontinence,0.0476262032300687,0.154015180572577,0.1914058435701701,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
115,B01C6YBDOO,Serviettes hygièniques,0.065683591622004,0.0900026164544478,0.102538760443055,0.1308377795075032,0.3543356740174836,0.0796936158292756,0.0175344950961881
116,B01CUOKUG2,Tampons,0.0341715757385867,0.1106550938004026,0.0269236580331692,0.1405203956692785,0.3543356740174836,0.0796936158292756,0.0182444751397104
117,B01D4VBU0K,Serviettes hygièniques,0.1042398986971435,0.070897305368159,0.0669240620942047,0.1625726550203941,0.3543356740174836,0.0796936158292756,0.0
118,B01E12I3Z6,Serviettes hygièniques,0.0326001574105798,0.1562386394928016,0.2145705406340284,0.1238419325072982,0.3543356740174836,0.1727813382050119,0.0
119,B01EAGUZAY,Tampons,0.4284534556112844,0.4239979758355967,0.0269236580331692,0.498389990559645,0.9165586101466588,0.6914047162475279,0.2954748156478317
120,B01F1RXFBM,Tampons,0.0,0.1072281057462578,0.0269236580331692,0.1582904268686663,0.4948225850848322,0.0796936158292756,0.0500155876703477
121,B01FUURB2O,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.2860409396866879,0.0
122,B01FV6OZEE,Protège-slips,0.08876643882747,0.1225360902135576,0.248331271811476,0.0767702822355641,0.3543356740174836,0.3965274239373869,0.0
123,B01GVVHXJ2,Tampons,0.1877878315142296,0.070897305368159,0.0269236580331692,0.0740616214317165,0.3965787526812043,0.0796936158292756,0.0
124,B01HL1REGS,Serviettes hygièniques,0.0878763767488209,0.070897305368159,0.1280871459482515,0.1289023642520276,0.3543356740174836,0.0796936158292756,0.0
125,B01HQVLX7O,Tampons,0.1487467389252955,0.0925302021850159,0.0697330554002464,0.0812929390068792,0.3543356740174836,0.3451542806925144,0.0
126,B01IDA4FOU,Protège-slips,0.1490730136519449,0.070897305368159,0.0841280572622858,0.14789362366888,0.5778965935069109,0.1506384026584494,0.0
127,B01IDA4MFM,Protège-slips,0.0993820091012966,0.0998044365614019,0.0841280572622858,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
128,B01IH5NB3M,Tampons,0.0,0.1687576105285449,0.100697379787388,0.0973036871303982,0.4083948502733355,0.0796936158292756,0.0513224840448451
129,B01IR2AISQ,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
130,B01JSBV49M,Serviettes hygièniques,0.0,0.0941467249640018,0.0882681095234746,0.0750171619112468,0.3543356740174836,0.0796936158292756,0.0
131,B01KUJTSFI,Tampons,0.1932644502371682,0.4483382538575212,0.1964371678009432,0.716536101063261,0.5717109242783293,0.1585299901545212,0.2800747164401916
132,B01LW2OYC1,Protège-slips,0.1490730136519449,0.070897305368159,0.0841280572622858,0.14789362366888,0.5778965935069109,0.1506384026584494,0.0
133,B01M63RZXI,Tampons,0.1512662469271197,0.070897305368159,0.0269236580331692,0.079166716827036,0.3543356740174836,0.0796936158292756,0.0
134,B01M8MQEVZ,Serviettes hygièniques,0.0,0.070897305368159,0.0269236580331692,0.0891379531974578,0.3543356740174836,0.2954189858673531,0.0
135,B01N1GUS0U,Tampons,0.2971778203509029,0.122761168767315,0.0269236580331692,0.1240193235437861,0.3543356740174836,0.2069795339092609,0.0158665593794756
136,B01N30WTQ1,Serviettes hygièniques,0.030329770644977,0.070897305368159,0.0385622253767775,0.059157449467552,0.4225628257385091,0.1662983899707376,0.0080966524745382
